"","HTO","method","Fscore"
"1","BAL 01","hashedDrops",0.927421632307258
"2","BAL 01","hashedDrops_default",0.920103836169599
"3","BAL 01","HashSolo",0.924743443557583
"4","BAL 01","HTODemux",0.89362962962963
"5","BAL 01","GMM_Demux",0.907391177329828
"6","BAL 01","deMULTIplex",0.910360884749709
"7","BAL 01","BFF_raw",0.880237741456166
"8","BAL 01","BFF_cluster",0.93135935397039
"9","BAL 01","demuxmix",0.907174231332357
"10","BAL 02","hashedDrops",0.925888665325285
"11","BAL 02","hashedDrops_default",0.934358974358974
"12","BAL 02","HashSolo",0.917921814181757
"13","BAL 02","HTODemux",0.878474114441417
"14","BAL 02","GMM_Demux",0.923901764095469
"15","BAL 02","deMULTIplex",0.88245931283906
"16","BAL 02","BFF_raw",0.775203010497128
"17","BAL 02","BFF_cluster",0.936579115951313
"18","BAL 02","demuxmix",0.917786699249433
"19","BAL 03","hashedDrops",0.934070490670352
"20","BAL 03","hashedDrops_default",0.92094861660079
"21","BAL 03","HashSolo",0.92523495581428
"22","BAL 03","HTODemux",0.888597258675999
"23","BAL 03","GMM_Demux",0.912820512820513
"24","BAL 03","deMULTIplex",0.917056571671629
"25","BAL 03","BFF_raw",0.916407794408359
"26","BAL 03","BFF_cluster",0.943884892086331
"27","BAL 03","demuxmix",0.911164979324112
"28","BAL 04","hashedDrops",0.917208884900157
"29","BAL 04","hashedDrops_default",0.819300837026096
"30","BAL 04","HashSolo",0.897435897435897
"31","BAL 04","HTODemux",0.85223203628551
"32","BAL 04","GMM_Demux",0.859777725230551
"33","BAL 04","deMULTIplex",0.882570503929727
"34","BAL 04","BFF_raw",0.831281679942071
"35","BAL 04","BFF_cluster",0.924453694068678
"36","BAL 04","demuxmix",0.874649204864359
"37","BAL 05","hashedDrops",0.932803812549643
"38","BAL 05","hashedDrops_default",0.936122284794851
"39","BAL 05","HashSolo",0.923202082655386
"40","BAL 05","HTODemux",0.896655518394649
"41","BAL 05","GMM_Demux",0.91715976331361
"42","BAL 05","deMULTIplex",0.924155928885989
"43","BAL 05","BFF_raw",0.92267706302794
"44","BAL 05","BFF_cluster",0.937235968617984
"45","BAL 05","demuxmix",0.910237265637962
"46","BAL 06","hashedDrops",0.93444136657433
"47","BAL 06","hashedDrops_default",0.89402697495183
"48","BAL 06","HashSolo",0.920984759671747
"49","BAL 06","HTODemux",0.907622892424602
"50","BAL 06","GMM_Demux",0.90766674578685
"51","BAL 06","deMULTIplex",0.922395711955255
"52","BAL 06","BFF_raw",0.900785153461813
"53","BAL 06","BFF_cluster",0.939367691641403
"54","BAL 06","demuxmix",0.911882825419324
"55","BAL 07","hashedDrops",0.929054707133192
"56","BAL 07","hashedDrops_default",0.914433194361723
